Agency,Descriptor,Resolved Type,Duration Type,Community Board,Cluster Labels
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Noise,info_needed,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Traffic,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",08 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",04 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Safety,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Noise,info_needed,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Personal Issue,fixed,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Traffic,info_needed,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Noise,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Energy,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Other,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(63.33, 2677.65]",12 MANHATTAN,10
NYPD,Noise,no_violation,"(26.55, 63.33]",05 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",07 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Safety,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,no_violation,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Traffic,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(26.55, 63.33]",04 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Traffic,no_violation,"(26.55, 63.33]",03 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",04 MANHATTAN,8
NYPD,Energy,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
DPR,Animals,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
DPR,Animals,no_violation,"(0.069, 26.55]",08 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",07 MANHATTAN,10
NYPD,Traffic,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Noise,fixed,"(63.33, 2677.65]",12 MANHATTAN,10
NYPD,Noise,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
TLC,Personal Issue,followup,"(0.069, 26.55]",08 MANHATTAN,6
NYPD,Noise,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Traffic,fixed,"(0.069, 26.55]",01 MANHATTAN,10
NYPD,Traffic,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",08 MANHATTAN,7
NYPD,Safety,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
DOT,Other,fixed,"(63.33, 2677.65]",05 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",09 MANHATTAN,7
NYPD,Noise,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Traffic,fixed,"(26.55, 63.33]",04 MANHATTAN,1
TLC,Personal Issue,followup,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",11 MANHATTAN,8
NYPD,Noise,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Traffic,fixed,"(63.33, 2677.65]",11 MANHATTAN,7
NYPD,Traffic,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Energy,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
DCA,Other,no_violation,"(63.33, 2677.65]",64 MANHATTAN,3
NYPD,Traffic,fixed,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Traffic,no_violation,"(63.33, 2677.65]",10 MANHATTAN,7
NYPD,Traffic,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Traffic,fixed,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Safety,fixed,"(63.33, 2677.65]",12 MANHATTAN,10
NYPD,House,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
TLC,Commercial,followup,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,fixed,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",01 MANHATTAN,7
TLC,Commercial,followup,"(0.069, 26.55]",02 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",05 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",09 MANHATTAN,8
NYPD,Safety,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
TLC,Personal Issue,followup,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,fixed,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",06 MANHATTAN,7
NYPD,Traffic,fixed,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
DCA,Other,followup,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
TLC,Other,followup,"(0.069, 26.55]",08 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,no_violation,"(26.55, 63.33]",06 MANHATTAN,8
NYPD,Safety,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
DOT,Other,referred,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Personal Issue,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,fixed,"(63.33, 2677.65]",11 MANHATTAN,1
NYPD,Trash/Pollution,no_violation,"(26.55, 63.33]",04 MANHATTAN,2
NYPD,Other,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Noise,fixed,"(63.33, 2677.65]",03 MANHATTAN,1
NYPD,Traffic,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",02 MANHATTAN,8
NYPD,Traffic,referred,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Traffic,referred,"(26.55, 63.33]",02 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",06 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",05 MANHATTAN,1
NYPD,Noise,no_violation,"(63.33, 2677.65]",11 MANHATTAN,3
TLC,Personal Issue,followup,"(26.55, 63.33]",05 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Noise,no_violation,"(26.55, 63.33]",04 MANHATTAN,2
DPR,Safety,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
DPR,Safety,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
DPR,Safety,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
TLC,Commercial,followup,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Other,no_violation,"(26.55, 63.33]",05 MANHATTAN,2
NYPD,Traffic,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Noise,fixed,"(63.33, 2677.65]",09 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",06 MANHATTAN,8
TLC,Personal Issue,followup,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Trash/Pollution,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Energy,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Other,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
DPR,Animals,referred,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Traffic,fixed,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Energy,fixed,"(26.55, 63.33]",07 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",08 MANHATTAN,7
DPR,Safety,referred,"(26.55, 63.33]",07 MANHATTAN,8
DSNY,Safety,duplicated_report,"(63.33, 2677.65]",07 MANHATTAN,3
NYPD,Trash/Pollution,no_violation,"(63.33, 2677.65]",11 MANHATTAN,3
NYPD,Safety,fixed,"(0.069, 26.55]",06 MANHATTAN,10
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",06 MANHATTAN,8
NYPD,Noise,fixed,"(0.069, 26.55]",05 MANHATTAN,10
NYPD,Traffic,info_needed,"(26.55, 63.33]",03 MANHATTAN,8
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,info_needed,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,info_needed,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,info_needed,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,info_needed,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Traffic,no_violation,"(26.55, 63.33]",03 MANHATTAN,8
NYPD,Traffic,info_needed,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Other,no_violation,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",05 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",06 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
TLC,Personal Issue,followup,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Noise,fixed,"(0.069, 26.55]",02 MANHATTAN,10
NYPD,Noise,fixed,"(63.33, 2677.65]",03 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",04 MANHATTAN,8
NYPD,Noise,no_violation,"(26.55, 63.33]",05 MANHATTAN,2
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Safety,no_violation,"(26.55, 63.33]",08 MANHATTAN,2
NYPD,Personal Issue,no_violation,"(63.33, 2677.65]",01 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",01 MANHATTAN,7
DPR,Safety,referred,"(0.069, 26.55]",11 MANHATTAN,6
TLC,Personal Issue,followup,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Traffic,no_violation,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",10 MANHATTAN,1
TLC,Personal Issue,followup,"(63.33, 2677.65]",07 MANHATTAN,3
DPR,Safety,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Noise,fixed,"(63.33, 2677.65]",11 MANHATTAN,1
DPR,Commercial,fixed,"(26.55, 63.33]",01 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",07 MANHATTAN,6
DOT,Trash/Pollution,referred,"(63.33, 2677.65]",11 MANHATTAN,3
NYPD,Safety,no_violation,"(26.55, 63.33]",11 MANHATTAN,2
NYPD,Safety,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
DCA,Commercial,referred,"(63.33, 2677.65]",05 MANHATTAN,3
NYPD,Traffic,info_needed,"(26.55, 63.33]",09 MANHATTAN,8
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",09 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Other,no_violation,"(63.33, 2677.65]",01 MANHATTAN,3
NYPD,Other,fixed,"(63.33, 2677.65]",01 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",11 MANHATTAN,2
NYPD,Traffic,no_violation,"(63.33, 2677.65]",01 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",02 MANHATTAN,8
NYPD,Traffic,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Traffic,no_violation,"(63.33, 2677.65]",10 MANHATTAN,7
NYPD,Traffic,no_violation,"(63.33, 2677.65]",10 MANHATTAN,7
NYPD,Traffic,fixed,"(63.33, 2677.65]",09 MANHATTAN,7
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Noise,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Trash/Pollution,no_violation,"(0.069, 26.55]",07 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",02 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",02 MANHATTAN,10
NYPD,Noise,fixed,"(63.33, 2677.65]",05 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Other,no_violation,"(63.33, 2677.65]",11 MANHATTAN,3
NYPD,Other,fixed,"(0.069, 26.55]",11 MANHATTAN,10
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Traffic,fixed,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Traffic,fixed,"(0.069, 26.55]",07 MANHATTAN,8
NYPD,Noise,no_violation,"(26.55, 63.33]",02 MANHATTAN,2
NYPD,Traffic,no_violation,"(26.55, 63.33]",05 MANHATTAN,8
NYPD,Noise,no_violation,"(26.55, 63.33]",05 MANHATTAN,2
NYPD,Personal Issue,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,House,no_violation,"(63.33, 2677.65]",08 MANHATTAN,7
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Traffic,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Traffic,no_violation,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Noise,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",04 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Other,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
DPR,Animals,no_violation,"(26.55, 63.33]",64 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Traffic,no_violation,"(63.33, 2677.65]",03 MANHATTAN,7
NYPD,Noise,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Traffic,fixed,"(0.069, 26.55]",01 MANHATTAN,10
NYPD,Noise,fixed,"(63.33, 2677.65]",03 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Traffic,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Noise,no_violation,"(0.069, 26.55]",05 MANHATTAN,6
HPD,House,no_violation,"(63.33, 2677.65]",12 MANHATTAN,4
NYPD,Personal Issue,no_violation,"(63.33, 2677.65]",08 BRONX,3
NYPD,Noise,fixed,"(63.33, 2677.65]",09 MANHATTAN,1
NYPD,Noise,fixed,"(63.33, 2677.65]",09 MANHATTAN,1
NYPD,Safety,no_violation,"(0.069, 26.55]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,info_needed,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",11 MANHATTAN,8
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",04 MANHATTAN,8
NYPD,Safety,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(63.33, 2677.65]",12 MANHATTAN,7
NYPD,Noise,no_violation,"(26.55, 63.33]",11 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,House,fixed,"(0.069, 26.55]",07 MANHATTAN,10
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Other,info_needed,"(0.069, 26.55]",07 MANHATTAN,6
NYPD,House,no_violation,"(63.33, 2677.65]",04 MANHATTAN,3
NYPD,Noise,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
NYPD,Traffic,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Safety,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Safety,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Noise,no_violation,"(63.33, 2677.65]",07 MANHATTAN,3
NYPD,Traffic,no_violation,"(26.55, 63.33]",07 MANHATTAN,8
NYPD,Safety,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Traffic,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",11 MANHATTAN,10
NYPD,Energy,no_violation,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",03 MANHATTAN,1
NYPD,Noise,fixed,"(26.55, 63.33]",05 MANHATTAN,1
NYPD,Traffic,no_violation,"(26.55, 63.33]",09 MANHATTAN,8
NYPD,Traffic,fixed,"(26.55, 63.33]",09 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",02 MANHATTAN,3
NYPD,Noise,no_violation,"(63.33, 2677.65]",03 MANHATTAN,3
NYPD,Noise,no_violation,"(63.33, 2677.65]",01 MANHATTAN,3
NYPD,Traffic,fixed,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,House,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",04 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",04 MANHATTAN,3
